Firma,Website,Phone,Linkedin Link,Kurzurteil,Firmenbeschreibung,Negativpunkt,Manuav-Score,Reasoning
Coleap,www.coleap.com,,https://www.linkedin.com/company/coleap,Geeignet – Coleap ist ein klarer B2B-SaaS-Lead mit großem Markt und gutem Manuav-Fit.,"Coleap ist eine Learning-Ops- und Cohort-Learning-Plattform, die Unternehmen, Creators und Weiterbildungsanbieter dabei unterstützt, professionelle Lernprogramme, Masterclasses und Cohort-based Courses zu erstellen, zu betreiben und zu skalieren.
Die Software deckt Enrollment, Inhalte, Automationen, Community, Payments und Analytics ab — ein vollwertiges Operating System für Lernprogramme.

Zielgruppen:

B2B-Education Provider

HR-/L&D-Teams

Coaches & Creator-Academies (mit Business-Modell)

Professionelle Weiterbildungsanbieter

Coleap hat laut öffentlichen Quellen VC-Funding und wächst im professionellen EdTech-Segment.","Der EdTech-/L&D-SaaS-Markt ist sehr kompetitiv — Coleap muss sich gegen viele Anbieter (Teachable, Kajabi, Maven, Disco, Teachfloor etc.) behaupten.",8,"B2B-Status

✔ Klarer B2B-Fokus: Kreator-Academies, Trainingsanbieter, HR-Teams.
✔ Software für professionelle Lernprogramme → sehr gute Grundlage für Outbound-Sales.

Zielgruppengröße

✔ Groß und wachsend: Weiterbildung, Corporate Training, Creator-Economy.
✔ Viele potenzielle Enterprise- und SMB-Leads.

Innovationsgrad

✔ Hoch: Cohort-Learning und Learning-Ops sind moderne Trends im EdTech-Bereich.
✔ Starke Automations- und Operating-System-Komponente.

Red-Ocean-Faktor

⚠ Markt ist voll — viele Player, starker Konkurrenzdruck.
➜ Manuav kann Coleap helfen, sich klarer zu positionieren (USP-basiertes Outbound).

Dealgröße / Economic Logic

✔ B2B-SaaS-Pricing → wiederkehrende Umsätze.
✔ Hohe Customer Lifetime Value durch langfristige Programm-Betriebsmodelle.

Onboarding-Kapazität

✔ Startups dieser Phase haben häufig Bedarf an professionellem Outbound-Aufbau.
✔ Coleap wirkt strukturiert genug, um externe Sales-Kapazität sinnvoll zu nutzen.

Telefonpitch-Potenzial

✔ Entscheidungsträger (Founders, Head of Growth) sind gut identifizierbar.
✔ Value Proposition für Outbound klar: “Wir helfen euch, skalierbare B2B-Learning-Clients zu gewinnen.”

Risiken

Konkurrenzsituation

Teilweise Creator-Markt → gemischte B2B/B2C-Struktur

Kaufentscheidungen können sich ziehen (L&D-Budgets)"
Creatext,creatext.ai,,https://www.linkedin.com/company/creatext-nlp/,Eher aussortieren – Creatext wirkt aktuell als nicht-prioritärer Manuav-Lead.,"Creatext ist (oder war) ein Berliner Startup (gegründet 2020), das eine KI-basierte Plattform zur Automatisierung von Sales-Outreach und Prospecting anbietet. Konkret generiert das Tool personalisierte Nachrichten (E-Mails, LinkedIn-Messages) und nutzt Real-Time-Prospect-Insights, Trigger-led Leadgen und AI-gestützte Nachrichtenautomatisierung. 
PitchBook
+2
aitoolxplorer.com
+2

Zielgruppe sind Sales- und Marketing-Teams, also Firmen mit aktivem Outbound-/B2B-Vertrieb — theoretisch ein B2B-Use-Case.",Laut öffentlich zugänglichen Quellen ist Creatext als Firma inzwischen „deadpooled / liquidated“ aufgeführt — also offenbar eingestellt oder insolvent.,2,"B2B-Status: Ja — Creatext war ein B2B-Tool für Sales & Marketing. 👍

Zielgruppengröße: Potenziell vorhanden (Firmen mit Sales/Outbound), aber wenn Firma nicht mehr aktiv, irrelevant.

Innovationsgrad: AI-basierte Automatisierung und Personalisierung sind modern und relevant — aber die Marktvalidierung scheint fehlgeschlagen.

Red-Ocean-Faktor: Der Markt für Sales-/AI-Outreach-Tools ist stark umkämpft — hoher Konkurrenzdruck.

Economic Logic / Dealgröße: Als SaaS hätte es Potenzial gehabt, aber Liquidation deutet auf Geschäftsprobleme hin — kein stabiles Umsatzpotential.

Onboarding-Kapazität: Da Firma nicht mehr aktiv scheint, entfällt.

Telefonpitch-Potenzial: Ohne aktive Organisation kaum sinnvoll.

Risiko / Nachhaltigkeit: Sehr hoch — „deadpooled“ bedeutet starkes Risiko bzw. Nullpotenzial für Zusammenarbeit."
DLT (short for data load tool),dlthub.com,,,Sehr geeignet – dltHub ist ein hochattraktiver B2B-Tech-Lead für Manuav.,"dltHub (auch bekannt als DLT / Data Load Tool) ist ein Open-Source-Data-Engineering-Framework, mit dem Unternehmen Datenpipelines einfacher, zuverlässiger und schneller bauen können. Die Plattform abstrahiert komplexe Infrastruktur (z. B. Airflow, Spark, Kubernetes) und macht Datenintegration, Transformation und Deployment deutlich effizienter.
Das Unternehmen bietet neben Open Source auch Enterprise-Funktionen, Managed Services, Integrationen, DevOps-Automatisierung und Support an — typisch für B2B-Infrastructure-/Data-SaaS-Modelle.
Die Zielgruppe sind Data Teams, Engineering-Abteilungen, AI-Teams, CTOs, Analytics-Abteilungen und Enterprise-Data-Plattformen.",Der Data-Engineering-/Pipeline-Markt ist sehr technisch und kompetitiv; viele potenzielle Kunden haben interne Engineering-Ressourcen → Outbound braucht starke USP-Argumentation.,9,"B2B-Status

✔ Reines B2B-Produkt: Data Infrastructure, Enterprise-Support, Managed Services.
✔ Zielgruppe: Firmen mit Datenvolumen → perfektes Match für Manuav.

Zielgruppengröße

✔ Sehr groß: Jedes datengetriebene Unternehmen ist potenzieller Kunde.
✔ Besonders attraktiv in DACH/USA: AI-Firmen, SaaS-Firmen, Tech-Scaleups, Mittelstand mit Datenprojekten.

Innovationsgrad

✔ Sehr hoch:

Open-Source-Framework

Cloud-native Data Engineering

Pipeline-Automatisierung

Developer Experience + Infrastructure Abstraction
Genau der Markt, der derzeit massiv wächst.

Red-Ocean-Faktor

⚠ Konkurrenz: Dagster, Prefect, Airbyte, Meltano, Astronomer, dbt.
Aber: dltHub ist technisch stark differenziert (DX, simplicity, infrastructure abstraction).

Economic Logic / Dealgröße

✔ Typisches Enterprise-SaaS-Modell mit Support-/Subscription-Revenue.
✔ Deals können von 5k bis 100k+ ARR reichen, je nach Teamgröße → guter Manuav-Hebel.

Onboarding-Kapazität

✔ Engineering-lastige Startups nutzen oft Outbound nicht früh genug → Manuav kann Wachstum stark beschleunigen.
✔ dltHub wirkt finanziert, strukturiert und skalierungsbereit.

Telefonpitch-Potenzial

✔ Technische Entscheider (CTO, Head of Data, Data Platform Lead) gut identifizierbar.
✔ Problem-Pain klar: „Ihr verbringt zu viele Ressourcen auf Pipeline-Maintenance statt auf AI-/Analytics-Value.“

Risiken

Technisches Buying Committee → längere Sales-Zyklen.

Starkes Open-Source-Ökosystem → manches passiert inbound statt outbound."
ACTIMI,actimi.com/,,https://www.linkedin.com/company/actimi/about/,"Eher mittelfristig geeignet – ACTIMI hat Potenzial, ist aber mit Vorsicht zu behandeln.","ACTIMI ist ein deutsches Health-Tech / MedTech-Startup mit Sitz in Stuttgart (gegründet 2021). 
bioregio-stern.de
+2
PitchBook
+2

Ihr Kerngeschäft: Eine zertifizierte Telemedizin-/Remote-Patient-Monitoring-Plattform (MDR IIa-zertifiziert). Sie ermöglichen es, Vitaldaten mit zertifizierten Geräten + App + Backend (FHIR/HL7) zu erfassen, auszuwerten und Ärzten bzw. Kliniken zur Überwachung chronisch Erkrankter (z. B. Herzinsuffizienz, Niereninsuffizienz etc.) bereitzustellen. 
actimi.com
+2
bioregio-stern.de
+2

Zielkunden sind B2B-Akteure: Ärzte, Kliniken, Pflegeheime, Medizinprodukte-Hersteller, Versicherungen, Pharmaunternehmen und andere Healthcare- und Gesundheitsdienstleister. 
actimi.com
+2
bioregio-stern.de
+2

ACTIMI bietet auch eine Plattform-/API-First-Option: D.h. Unternehmen können mit ACTIMI relativ schnell eigene, zertifizierte Digital-Health-/Telemedizin-Produkte entwickeln — inklusive Unterstützung bei Zulassung und Compliance.","Der Gesundheitsbereich ist stark reguliert — Zulassung (MDR/CE), Datenschutz, Compliance etc. — und viele potenzielle Kunden sind zurückhaltend bei Outsourcing oder externen Sales-Anbietern. Das macht Sales im Health-Tech-Segment längerwierig und riskanter.",6,"B2B-Status: ✔ Klar B2B; Kunden sind Kliniken, Pflegeeinrichtungen, Hersteller, Versicherer — gute Voraussetzung für Manuav.

Zielgruppengröße: ✔ Der Markt für Telemedizin, Remote Patient Monitoring und digitalen Gesundheitsservices wächst — potenziell viele Leads.

Innovationsgrad: ✔ Sehr hoch; Kombination aus zertifizierter Medizintechnik, Software-Plattform (FHIR/HL7), Tele-Monitoring und API-First-Ansatz — stark relevant im Bereich Digital Health.

Red-Ocean-Faktor: ⚠ Der Health-/MedTech-Markt ist kompetitiv und reguliert; viele Anbieter & Hürden bei Adoption.

Economic Logic / Dealgröße: ✔ Potenziell mittlere bis hohe Volumina — je nach Kunde (Klinik, Pflegeheim, Hersteller, Versicherung), und bei wiederkehrenden Lizenz-/Service-Modellen.

Onboarding-Kapazität: ✔ Als relativ junges Startup könnte ACTIMI offen sein für Unterstützung bei Vertrieb/Leadgenerierung, da spezialisierte Sales im Health-Tech oft herausfordernd sind.

Telefonpitch-Potenzial: ⚠ Möglich — Entscheidungsträger sind identifizierbar. Allerdings kann die Komplexität und Spezialisierung des Produkts Sales-Gespräche anspruchsvoll machen.

Risiko / Nachhaltigkeit: ⚠ Mittel / hoch — abhängig von regulatorischer Entwicklung, Erstattungsbedingungen und Akzeptanz der Kunden (Ärzte, Kliniken, Versicherer)."
E-TERRY,e-terry.com,,https://www.linkedin.com/company/e-terry,"Geeignet – mit Vorbehalt. E-TERRY ist ein innovatives AgTech-Startup mit klarem B2B-Fokus, aber wegen Größe und Marktcharakteristika nur mittel- bis langfristig skalierbar.","E-TERRY ist ein 2022 gegründetes AgTech-Startup mit Sitz in Erfurt, Deutschland. 
Tracxn
+2
bm|t › next level funding
+2

Das Unternehmen entwickelt einen autonomen, KI-gestützten Feldroboter für Gemüsefarmen, der Aufgaben wie Unkrautbekämpfung, Pflanzenüberwachung und Datenanalyse automatisiert. 
E-TERRY - YOUR FARMING COMPANION
+2
EIT Food
+2

Ziel ist, Gemüsebau effizienter, nachhaltiger und weniger arbeitsintensiv zu machen — insbesondere für Betriebe, die unter Arbeitskräftemangel leiden.",Die Firma ist derzeit klein (einzelstellige Mitarbeiterzahl) und im sehr spezialisierten Agri-Robotics-Markt tätig — das limitiert kurzfristig die Anzahl potenzieller Leads und das Wachstumspotenzial.,6,"✅ B2B-Status: Klar gegeben — E-TERRY verkauft bzw. plant zu verkaufen an landwirtschaftliche Betriebe bzw. Gemüsefarmen, also Unternehmen. 
EuroQuity
+1

✅ Innovationsgrad: Hoch — autonome, modulare Feldroboter mit KI, flexibel einsetzbar und auf Nachhaltigkeit ausgerichtet. 
E-TERRY - YOUR FARMING COMPANION
+2
CB Insights
+2

✅ Zielgruppengröße: Mittel – Der Markt für Gemüsefarmen in Europa ist vorhanden, aber nicht vergleichbar mit Massen-Industrien; Zielgruppe ist Nische (Bio / gewerbliche Gemüsebauer).
✅ Red-Ocean-Faktor: Moderat — Es gibt Wettbewerb (andere Ag-Robotics Anbieter), aber der Markt ist nicht überlaufen und technischer Fortschritt sowie Nachfrage nach Automatisierung begünstigen Differenzierung. 
Tracxn
+1

✅ Economic Logic / Dealgröße: Potenziell gut — Der Einsatz autonomer Roboter verspricht Kosten- und Arbeitskraft-Ersparnis bei Farmen. Wenn E-TERRY großflächig verkauft oder als Dienstleistung anbietet, könnten Deals substanziell sein.
✅ Onboarding-Kapazität: Eingeschränkt — Als kleines Startup mit ~9 Mitarbeitern ist ihre Kapazität für große Kundenfluten wahrscheinlich limitiert. 
PitchBook
+1

✅ Telefonpitch-Potenzial: Mäßig — Ansprechpartner (Founders / Management) sind klar identifizierbar (z. B. CEO & Co-Founder) — ein direkter Pitch wäre möglich. 
E-TERRY - YOUR FARMING COMPANION
+1

⚠️ Risiko / Einschränkungen: Markt-Nische, kleine Unternehmensgröße, Wettbewerbsdruck durch andere AgTech-Firmen, potenziell lange Sales-Zyklen (Landwirtschaft, Investitionen in Hardware)."
Aurora Life Science,www.aurora-nutrio.com,,https://www.linkedin.com/company/aurora-life-science,Eher aussortieren. Aurora Nutrio ist ein nutzer-orientiertes FoodTech-/Hardware-Startup mit starkem B2C-Fokus — der Fit für eine B2B-Leadgenerierungsagentur wie Manuav ist daher aktuell sehr limitiert.,"Aurora Nutrio mit Sitz in Darmstadt (Deutschland) entwickelt eine smarte Küchenlösung: Ein intelligentes Schneidebrett („smart cutting board“), das Lebensmittel automatisch erkennt, wiegt und über eine App Ernährung sowie Nährwerte trackt. 
Tracxn
+2
Aurora Nutrio
+2

Neben Hardware bietet Aurora Nutrio eine mobile App inklusive Food-Diary, KI-gestützter Lebensmittelerkennung und Ernährungsstatistiken an.","Aurora Nutrio adressiert primär Endverbraucher (B2C), nicht Unternehmen — der Markt und Vertriebsfokus passen daher nicht zu einem B2B-Lead-Dienst.",3,"B2B-Status: Fehlend — Aurora Nutrio verkauft (und vermarktet) sein Produkt vor allem an individuelle Konsumenten, nicht an andere Unternehmen oder Gewerbekunden.

Zielgruppengröße: Potenziell groß im Consumer-Markt, aber irrelevant für Manuav, da kein klarer Bedarf an B2B-Leads besteht.

Innovationsgrad: Hoch — smartes Küchengerät + App + KI-Erkennung sind innovativ. 
Tracxn
+2
Indiegogo
+2

Red-Ocean-Faktor: Hoch — der Markt für Ernährungs- und Fitness-Apps bzw. Smart Home / Kitchen Gadgets ist stark umkämpft mit zahlreichen Wettbewerbern bzw. Alternativen. 
Tracxn
+2
CB Insights
+2

Economic Logic / Dealgröße: Eher gering — B2C-Preise und Einzelverkäufe statt größere, wiederkehrende B2B-Deals.

Onboarding-Kapazität: Klein — mit nur sehr wenigen Mitarbeitern und eingeschränktem Fokus auf Konsumenten dürfte Aurora Nutrio kaum geeignet sein, großflächige B2B-Kundenströme einzuführen. 
PitchBook
+1

Telefonpitch-Potenzial: Niedrig — Da bislang kein deutliches B2B-Geschäftsmodell, wenig Bedarf und kaum Ansprechpartner im B2B-Vertrieb.

Risiken / Einschränkungen: Konsumentenfokus, starke Konkurrenz, unklare Skalierbarkeit im B2B-Kontext, kein institutionelles Wachstum, keine nachgewiesenen großen B2B-Partnerschaften."
arttrade,www.arttrade.io,,https://www.linkedin.com/company/arttradeio/?viewAsMember=true,"Eher aussortieren. arttrade ist primär ein B2C-/FinTech-Startup im Bereich Kunstinvestment, mit nur geringem bis keinem klassischen B2B-Vertrieb – daher passt es nur bedingt zu Manuav.","arttrade bietet eine digitale Plattform, mit der Investoren anteilig (fractional) in hochwertige „Blue-Chip“-Kunstwerke investieren können — bereits ab ca. 1.000 €. 
Startup-Atlas
+2
arttrade
+2

Durch Tokenisierung bzw. digitale Wertpapiere nach deutschem Gesetz (eWpG) erhalten Nutzer eine regulierte Beteiligung am Kunstwerk, während arttrade Lagerung, Versicherung und Verwaltung der Originalkunst übernimmt. 
arttrade
+2
Startup-Atlas
+2

arttrade wurde 2021 gegründet, hat einige Millionen an Finanzierung eingesammelt und wird derzeit mit etwa 9 Mitarbeitenden geführt.",Das Geschäftsmodell zielt auf (private) Einzelinvestoren – also B2C bzw. vermögende Privatpersonen – und enthält keine erkennbare B2B-Komponente.,2,"B2B-Status: Fehlend — arttrade richtet sich an private Investoren, nicht an Unternehmen oder professionelle B2B-Kunden.

Zielgruppengröße (für Manuav): Sehr begrenzt – der relevante Zielmarkt (B2B-Firmen, die arttrade nutzen wollen) existiert praktisch nicht.

Innovationsgrad: Hoch – Kombination aus FinTech, Tokenisierung und Kunstmarkt ist innovativ. 
Tracxn
+2
Finance Wiki
+2

Red-Ocean-Faktor: Moderat – der Markt für alternative Investments und fractional art investments wächst, aber Wettbewerb und regulatorische Komplexität sind hoch.

Economic Logic / Dealgröße: Für endverbraucherorientierte Investments gut; aber aus Manuav-Perspektive sind keine großen B2B-Deals erkennbar.

Onboarding-Kapazität: Klein – mit nur 9 Mitarbeitenden dürfte arttrade nicht auf hohe B2B-Leadvolumina ausgelegt sein.

Telefonpitch-Potenzial: Nahezu null – es gibt kaum Bedarf im Sinne von B2B-Outbound Sales oder Leadgenerierung.

Risiken / Einschränkungen: Geschäftsmodell und Kundenbasis passen nicht zum Manuav-Portfolio; zudem regulative Risiken und Abhängigkeit vom Kunstmarkt und Anlegerverhalten."
Rocket Tutor,rockettutor.de,,https://www.linkedin.com/company/rocket-tutor-de,Eher aussortieren. RocketTutor ist ein klassisches B2C-EdTech-Startup mit Fokus auf Schüler:innen und Nachhilfe — der B2B-Fit für Leadgenerierung durch Manuav ist daher sehr gering.,"RocketTutor wurde 2022 gegründet und hat seinen Sitz in München. 
Tracxn
+1

Das Unternehmen betreibt eine KI-gestützte Mathematik-Nachhilfeplattform für Schülerinnen und Schüler — insbesondere zur Vorbereitung auf das Abitur bzw. die gymnasiale Oberstufe. 
rockettutor.de
+2
EdTech
+2

RocketTutor nutzt KI, um Wissenslücken zu identifizieren, personalisierte Lernpläne zu erstellen und individuell abgestimmte Übungsaufgaben sowie Erklärungen anzubieten. 
MGT Tum
+2
Munich Startup
+2

Das Unternehmen hat laut Berichten eine Seed-Finanzierung abgeschlossen (ca. 1,05 Mio. USD).","Der Fokus liegt auf Endkunden (Schüler:innen) — es gibt kaum erkennbaren B2B-Vertrieb oder institutionelle Kundenbasis (z. B. Schulen, Unternehmen), daher passt der Use-Case nicht zum Manuav-Modell.",2,"B2B-Status: Fehlend — RocketTutor richtet sich vornehmlich an Schüler:innen bzw. Einzelpersonen (B2C). 
Munich Startup
+2
rockettutor.de
+2

Zielgruppengröße (für Manuav): Für B2C groß – aber irrelevant für Manuav, da Manuav auf Unternehmens- bzw. B2B-Leads abzielt.

Innovationsgrad: Mittel bis hoch – KI-gestützte adaptive Lernplattform im EdTech-Sector. 
VentureRadar
+1

Red-Ocean-Faktor: Hoch – der Nachhilfe-/EdTech-Markt ist stark umkämpft mit vielen Mitbewerbern. 
Tracxn
+2
CB Insights
+2

Economic Logic / Dealgröße: Für Einzelabos (B2C) ok — aus Manuav-Perspektive aber wenig relevant, da wiederkehrende B2B-Deals fehlen.

Onboarding-Kapazität: Als kleines Startup (Seed-Phase) vermutlich limitiert, und der Fokus liegt auf Produkt- und Nutzerwachstum im Endkundenbereich. 
Tracxn
+1

Telefon-/Sales-Pitch-Potenzial: Gering — kaum Bedarf für B2B-Lead-Akquise, kein klarer Ansprechpartner für Firmenvertrieb.

Risiken / Einschränkungen: Konkurrenzdruck im EdTech-Segment, stark kundenzentriertes Geschäftsmodell, kein skizzenhafter B2B-Vertrieb, daher wenig Aussicht auf für Manuav relevante Leads."
SaveStrike,savestrike.de,,https://www.linkedin.com/company/savestrike,"Eher aussortieren. SaveStrike ist ein FinTech / Consumer-App-Startup mit starkem B2C-Fokus — es gibt kaum bis keine erkennbare B2B-Komponente, wodurch der Fit für Manuav als B2B-Leadagentur sehr gering erscheint.","SaveStrike (gegründet 2022, mit Sitz in Berlin) bietet eine App + Browser-Erweiterung, mit der Nutzer Wunschlisten erstellen, Sparziele setzen oder Produkte speichern und später mit Cashback und Rabatten kaufen können. 
Startup-Atlas
+2
FinanceFWD
+2

Das Geschäftsmodell beruht auf dem Angebot, Online-Shopping übersichtlicher und bewusster zu gestalten („Save now, buy later“ anstelle von Raten- oder Rechnungskäufen). 
FinanceFWD
+2
EU-Startups
+2

Dabei richtet sich SaveStrike primär an Endkunden — Konsumenten, die sparen oder ihre Käufe planen wollen — nicht an Geschäftskunden oder Firmen.","Der Fokus liegt klar auf Konsumenten (B2C), es ist kein erkennbares B2B-Angebot oder Firmenkundensegment vorhanden — damit verfehlt SaveStrike den Haupteinsatzbereich von Manuav.",3,"B2B-Status: Fehlend — SaveStrike adressiert Privatkunden, nicht Firmen oder institutionelle Kunden.

Zielgruppengröße (für Manuav): Zwar groß im Konsumentenbereich, aber irrelevant für B2B-Leadgenerierung.

Innovationsgrad: Mittel bis hoch — die Idee einer Wunschlisten-/Spar-/Cashback-App kombiniert mehrfach bewährte Konzepte. 
StartupValley
+1

Red-Ocean-Faktor: Hoch — der Markt für Spar-, Cashback- und Shopping-Apps ist stark umkämpft und mit vielen vergleichbaren Angeboten.

Economic Logic / Dealgröße: Eher niedrig — Consumer-Transaktionen mit kleinen Einzelbeträgen, keine größeren Unternehmensdeals.

Onboarding-Kapazität: Für Privatkunden ausreichend; aber nicht relevant für große B2B-Kundenströme.

Telefonpitch-Potenzial: Schwach — kein Bedarf für B2B-Outreach, da Geschäftsmodell auf B2C ausgelegt ist.

Risiken / Einschränkungen: Hohe Abhängigkeit vom Konsumentenverhalten, starke Konkurrenz, kein skalierbarer B2B-Sales-Case erkennbar."
Leeana,www.leeana.io/,,https://www.linkedin.com/company/leeana/,"Geeignet – mit Vorbehalt. Leeana ist ein B2B-SaaS-Startup im Bereich Nachhaltigkeit / Umwelt-Compliance mit klarer Zielgruppe „Unternehmen“, was grundsätzlich zu Manuav passt; wegen früher Phase und kleiner Unternehmensgröße aber mit eingeschränkter Skalierbarkeit.","Leeana ist eine 2023 gegründete, private Firma mit Sitz in Deutschland (u.a. Berlin bzw. laut Quelle München). 
PitchBook
+2
Tracxn
+2

Leeana bietet eine KI-gestützte Plattform für Geodaten bzw. Geospatial-Analysen, um Umwelt-, Biodiversitäts- und Nachhaltigkeitsrisiken für Firmenstandorte und Projekte zu evaluieren und relevante Berichte (z. B. im Rahmen von ESG / Compliance / Umweltauflagen) zu generieren. 
leeana.io
+2
esrs-services.de
+2

Potenzielle Kunden sind Unternehmen aus Bereichen Infrastruktur, Energie, Bau, Immobilien, Real-Estate oder Firmen mit Nachhaltigkeits- und Compliance-Anforderungen, die Standort- oder Lieferketten-Risiken bewerten müssen.","Leeana ist derzeit ein sehr junges, kleines Unternehmen mit vermutlich nur wenigen Mitarbeitern — ihre Kapazität für große Vertriebs- bzw. Kundenakquise ist daher vermutlich eingeschränkt.",7,"✅ B2B-Status: Klar vorhanden — Leeana richtet sich an Unternehmen/Firmen, nicht an Endkunden.

✅ Zielgruppengröße: Gut — es existiert eine breite Zielgruppe (Unternehmen mit ESG-, Umwelt-, Infrastruktur- oder Compliance-Bedarf).

✅ Innovationsgrad: Hoch — KI-gestützte Geospatial-/Biodiversitäts-Analysen und Audit-ready ESG-/Compliance-Reporting sind aktuell stark gefragte Themen.

✅ Red-Ocean-Faktor: Moderat — Der Markt für Nachhaltigkeits-/ESG-Software wächst, aber Wettbewerb (andere ESG-/Compliance-SaaS) existiert. 
Tracxn
+1

✅ Economic Logic / Dealgröße: Potenzial vorhanden — Unternehmen mit mehreren Standorten, Infrastruktur- oder Bauprojekte könnten signifikante Budgets für Compliance/Reporting aufwenden.

✅ Onboarding-Kapazität: Begrenzter Risiko — Als kleines Startup mögen sie derzeit noch überschaubare Kundenvolumina bedienen; Skalierung könnte aber mit Wachstum möglich sein.

✅ Telefonpitch-Potenzial: Hoch — Ansprechpartner sind vermutlich Gründer bzw. früh involvierte Entscheider; Bedarf an ESG-Compliance dürfte ein sinnvolles Einstiegsthema sein.

⚠️ Risiko / Unsicherheit: Da Leeana sehr jung und klein ist, könnten Ressourcen für Vertrieb/Support limitiert sein; außerdem könnte der Markt Wettbewerb und regulatorische Komplexität mit sich bringen."
score4more,www.score4more.eu,,https://www.linkedin.com/company/score4more,"Geeignet – mit guten Chancen. score4more ist ein junges B2B-SaaS-/Plattform-Startup im Bereich ESG/Sustainability, mit klar adressierten Unternehmens-Kunden und einem Wachstumsthema, das gut zu Manuav passen könnte.","score4more wurde 2022 gegründet und hat seinen Sitz in Berlin, Deutschland. 
Tracxn
+2
score4more
+2

Die Plattform bietet Unternehmen branchenspezifische Nachhaltigkeitsanalysen, ESG-/Sustainability-Scoring, Benchmarking und Tools zur Einhaltung bzw. Dokumentation der Nachhaltigkeitsstandards (z. B. im Kontext EU-Regulierungen wie EU CSRD / EU ESRS). 
score4more
+2
score4more
+2

Zusätzlich ermöglicht score4more Benchmarks mit Branchen-Peers, Best-Practice-Vergleiche, Reporting- bzw. Compliance-Unterstützung und bietet Pakete für mittlere bis große Unternehmen sowie Verbände an.","score4more ist derzeit noch unver­finanziert / in einer sehr frühen Phase („Pre-Seed / unfunded“), was Unsicherheit bzgl. Stabilität und Ressourcen für Skalierung bzw. stärkeren Vertrieb mit sich bringt.",8,"✅ B2B-Status: Klar vorhanden – score4more richtet sich explizit an Unternehmen, Organisationen und ggf. Verbände. 
score4more
+2
score4more
+2

✅ Zielgruppengröße: Groß – Unternehmen aus vielen Branchen (über 100 Branchen bei score4more) könnten potenzielle Kunden sein. 
score4more
+1

✅ Innovationsgrad: Hoch – ESG/Sustainability-Benchmarking, AI-gestützte Datenauswertung und EU-Compliance-Reporting sind aktuell sehr gefragte Themen. 
score4more
+1

✅ Red-Ocean-Faktor: Moderat – der Markt für ESG-/Nachhaltigkeitssoftware wächst, aber Konkurrenz existiert (z. B. andere ESG-/Sustainability-Anbieter). 
Tracxn
+2
EU-Startups
+2

✅ Economic Logic / Dealgröße: Gut – mittelständische und größere Unternehmen, ggf. mit mehreren Standorten oder komplexen Lieferketten, könnten substanzielle Budgets für Nachhaltigkeits-/Compliance-Tools einsetzen. 
score4more
+1

✅ Onboarding-Kapazität: Aktuell vermutlich begrenzt — als junges, kleines Startup mit Pre-Seed-Status könnte die Ressourcenbasis knapp sein. 
Tracxn
+2
CB Insights
+2

✅ Telefonpitch-Potenzial: Hoch — als Entscheidungsträger wahrscheinlich Gründer oder ESG-Leads, und Nachhaltigkeit ist ein dringendes Thema, was Interesse an Dienstleistern (z. B. Manuav) wahrscheinlich macht.

⚠️ Risiko / Unsicherheit: Frühphase, geringe externe Finanzierung — könnte die Stabilität und Skalierbarkeit limitiert sein; Wettbewerb mit etablierten ESG-/SaaS-Anbietern und Notwendigkeit, Marktanteile zu erobern."
